Description	group_sum
DDX11L1	0.00788217592592593
WASH7P	1.08868564814815
MIR6859-1	0.0114791666666667
MIR1302-2HG	0.0289261574074074
FAM138A	0.0127678240740741
OR4G4P	0.0791247685185185
OR4G11P	0.105613888888889
OR4F5	0.191894212962963
RP11-34P13.7	0.0244585648148148
CICP27	0.017231712962963
RP11-34P13.15	1.36711435185185
RP11-34P13.16	2.09558541666667
RP11-34P13.14	0.0371699074074074
RP11-34P13.13	0.0580925925925925
RNU6-1100P	0.00153587962962963
RP11-34P13.9	0.00265092592592593
ABC7-43046700E7.1	0.0754291666666667
RP11-34P13.18	1.99335856481482
MIR6859-2	0.00305162037037037
AP006222.2	0.216888425925926
RPL23AP24	0.0610175925925926
RP5-857K21.15	0.00160046296296296
RP4-669L17.2	0.0435449074074074
RP4-669L17.10	0.0938354166666667
WBP1LP7	0.201999305555556
OR4F29	0.0985270833333333
CICP7	0.01686875
RP4-669L17.8	0.0194935185185185
U6	0.00303228815937149
RP5-857K21.4	0.0345821759259259
RP5-857K21.2	0.0105305555555556
MTND1P23	571.258476851852
MTND2P28	1469.74980324074
MTCO1P12	417.997944444444
MTCO2P12	59.3682199074074
MTATP8P1	49.2863726851852
MTATP6P1	8697.21092592593
MTCO3P12	166.884729166667
WBP1LP6	0.0997233796296296
OR4F16	0.0679358796296296
RP11-206L10.17	0
CICP3	0.147793518518518
RP11-206L10.2	0.631475925925926
RNU6-1199P	0.0508756944444445
RP11-206L10.4	0.0990435185185186
RP11-206L10.9	0.272521296296296
RP11-206L10.8	0.408363194444445
FAM87B	0.22680162037037
LINC01128	14.7699761574074
LINC00115	1.75980509259259
FAM41C	0.162819675925926
TUBB8P11	0.18884837962963
FAM166AP3	0.0751229166666667
RP11-54O7.16	0.144812037037037
RP11-54O7.1	0.131273148148148
RP11-54O7.2	0.0224988425925926
RP11-54O7.3	0.543708101851852
SAMD11	0.807511342592593
NOC2L	24.5016226851852
KLHL17	3.22521296296296
PLEKHN1	0.240728009259259
PERM1	61.3744759259259
RP11-54O7.17	5.46219768518519
HES4	21.763587962963
ISG15	18.3861990740741
RP11-54O7.10	0.301263888888889
RP11-54O7.11	0.408523611111112
AGRN	7.82816203703704
RP11-465B22.3	0.193992592592593
RP11-54O7.18	0.105721990740741
RNF223	0.0878986111111111
C1orf159	2.13220347222222
LINC01342	0.125253240740741
MIR200B	0.0771680555555556
MIR200A	0.0472564814814815
MIR429	0.0689854166666667
RP11-465B22.8	0.0960870370370371
TTLL10-AS1	0.094611574074074
TTLL10	0.184114583333333
TNFRSF18	0.320097453703704
TNFRSF4	6.02660763888889
SDF4	68.0121203703704
B3GALT6	6.72507662037037
C1QTNF12	0.947409027777777
RP5-902P8.12	0.388620601851852
UBE2J2	10.1586435185185
LINC01786	1.54020324074074
SCNN1D	2.67393541666667
ACAP3	25.298912037037
MIR6726	0.0609916666666667
PUSL1	5.84794050925926
INTS11	22.2181643518519
MIR6727	0.0632215277777778
RP5-890O3.9	7.29810972222222
CPTP	50.5512685185185
TAS1R3	1.00633055555556
DVL1	44.1277893518519
MIR6808	0.0410231481481481
MXRA8	23.1062013888889
AURKAIP1	80.3591550925926
NDUFB4P8	0.23196412037037
CCNL2	48.3605555555556
RP4-758J18.2	5.9610462962963
MRPL20	47.4621643518519
RP4-758J18.13	1.67910833333333
ANKRD65	1.34272314814815
RP4-758J18.7	0.317565740740741
TMEM88B	0.202115509259259
LINC01770	0.552324768518519
VWA1	7.68590972222222
ATAD3C	0.411437962962963
ATAD3B	7.78303657407407
ATAD3A	9.64915023148147
TMEM240	2.29135532407407
SSU72	22.5345023148148
RP5-832C2.5	0.274334722222222
RP11-345P4.11	0.116355787037037
FNDC10	1.99497824074074
RP11-345P4.9	5.88041342592593
MIB2	20.3754259259259
MMP23B	0.803516666666667
